#height     foot_size   gender
174     42              0
183     43              1
168     40              0
177     44.5            1      
162     39              1  
181     44.5            1   
172     39              0
163     38              0 
167     37              0
178     42              1 
162     40              0 
164     36              0 
178     45              1 
160     39.5            1   
193     45              1 
161     39              0 
186     46              1 
168     37              0 
173     41              0 
159     40              0 
174     39              0 
181     43              1 
173     40.5            1   
190     44              1 
187     43.5            1
